[INFO] [2024-04-24 18:03:25,251] Epoch<2/3>|Step<9/13> avg loss:0.025311
[INFO] [2024-04-24 18:03:25,949] Epoch<2/3>|Step<10/13> avg loss:0.025171
[INFO] [2024-04-24 18:03:26,644] Epoch<2/3>|Step<11/13> avg loss:0.025383
[INFO] [2024-04-24 18:03:27,359] Epoch<2/3>|Step<12/13> avg loss:0.025376
[INFO] [2024-04-24 18:03:27,680] Epoch<2/3>|Step<13/13> avg loss:0.025846
[INFO] [2024-04-24 18:04:17,903] Epoch<2/3> current loss:0.025565, best loss:0.025403, current PSNR:22.105025(max:27.105464|min:19.603241), best PSNR:22.131727
[INFO] [2024-04-24 18:04:17,904] Epoch<3/3> current lr:0.010000
[INFO] [2024-04-24 18:04:29,439] Epoch<3/3>|Step<1/13> avg loss:0.027495
[INFO] [2024-04-24 18:04:30,116] Epoch<3/3>|Step<2/13> avg loss:0.026960
[INFO] [2024-04-24 18:04:30,789] Epoch<3/3>|Step<3/13> avg loss:0.027037
[INFO] [2024-04-24 18:04:31,512] Epoch<3/3>|Step<4/13> avg loss:0.027566
[INFO] [2024-04-24 18:04:32,109] Epoch<3/3>|Step<5/13> avg loss:0.027896
[INFO] [2024-04-24 18:04:32,794] Epoch<3/3>|Step<6/13> avg loss:0.027489
[INFO] [2024-04-24 18:04:33,384] Epoch<3/3>|Step<7/13> avg loss:0.026712
[INFO] [2024-04-24 18:04:34,144] Epoch<3/3>|Step<8/13> avg loss:0.026774
[INFO] [2024-04-24 18:04:34,849] Epoch<3/3>|Step<9/13> avg loss:0.026550
[INFO] [2024-04-24 18:04:35,518] Epoch<3/3>|Step<10/13> avg loss:0.026582
[INFO] [2024-04-24 18:04:36,208] Epoch<3/3>|Step<11/13> avg loss:0.026371
[INFO] [2024-04-24 18:04:36,873] Epoch<3/3>|Step<12/13> avg loss:0.025934
[INFO] [2024-04-24 18:04:37,267] Epoch<3/3>|Step<13/13> avg loss:0.025873
[INFO] [2024-04-24 18:05:27,372] Epoch<3/3> current loss:0.025565, best loss:0.025403, current PSNR:22.104990(max:27.105446|min:19.603189), best PSNR:22.131727
[INFO] [2024-04-24 18:06:04,152] Epoch<1/3> current lr:0.001000
[INFO] [2024-04-24 18:06:16,932] Epoch<1/3>|Step<1/13> avg loss:1.718978
[INFO] [2024-04-24 18:06:18,612] Epoch<1/3>|Step<2/13> avg loss:1.572951
[INFO] [2024-04-24 18:06:20,444] Epoch<1/3>|Step<3/13> avg loss:1.339704
[INFO] [2024-04-24 18:06:22,067] Epoch<1/3>|Step<4/13> avg loss:1.215306
[INFO] [2024-04-24 18:06:23,840] Epoch<1/3>|Step<5/13> avg loss:1.145337
[INFO] [2024-04-24 18:06:25,671] Epoch<1/3>|Step<6/13> avg loss:1.111062
[INFO] [2024-04-24 18:06:27,365] Epoch<1/3>|Step<7/13> avg loss:1.074848
[INFO] [2024-04-24 18:06:29,082] Epoch<1/3>|Step<8/13> avg loss:1.048346
[INFO] [2024-04-24 18:06:30,979] Epoch<1/3>|Step<9/13> avg loss:1.022192
[INFO] [2024-04-24 18:06:32,878] Epoch<1/3>|Step<10/13> avg loss:1.005768
[INFO] [2024-04-24 18:06:34,722] Epoch<1/3>|Step<11/13> avg loss:0.996142
[INFO] [2024-04-24 18:06:36,464] Epoch<1/3>|Step<12/13> avg loss:0.984046
[INFO] [2024-04-24 18:06:37,336] Epoch<1/3>|Step<13/13> avg loss:0.970523
[INFO] [2024-04-24 18:08:34,611] Epoch<1/3> current loss:0.849962, best loss:0.849962, current PSNR:22.104981(max:27.105442|min:19.603177), best PSNR:22.104981
[INFO] [2024-04-24 18:08:34,612] Epoch<2/3> current lr:0.001000
[INFO] [2024-04-24 18:08:47,019] Epoch<2/3>|Step<1/13> avg loss:0.818620
[INFO] [2024-04-24 18:08:48,640] Epoch<2/3>|Step<2/13> avg loss:0.833470
[INFO] [2024-04-24 18:08:50,130] Epoch<2/3>|Step<3/13> avg loss:0.822248
[INFO] [2024-04-24 18:08:51,721] Epoch<2/3>|Step<4/13> avg loss:0.827562
[INFO] [2024-04-24 18:08:53,316] Epoch<2/3>|Step<5/13> avg loss:0.824787
[INFO] [2024-04-24 18:08:54,953] Epoch<2/3>|Step<6/13> avg loss:0.833260
[INFO] [2024-04-24 18:08:56,581] Epoch<2/3>|Step<7/13> avg loss:0.837198
[INFO] [2024-04-24 18:08:58,165] Epoch<2/3>|Step<8/13> avg loss:0.848049
[INFO] [2024-04-24 18:08:59,730] Epoch<2/3>|Step<9/13> avg loss:0.837369
[INFO] [2024-04-24 18:09:01,342] Epoch<2/3>|Step<10/13> avg loss:0.840435
